Seq_ID,Original_ID,box_loc,Sample_Type,Sample_source,collection_date,CT,starting_quant,Template_dilution,Primer_Conc,NGS_Prep_Method,amp_date,NGS_primers,NGS_Run_ID,NGS_Date,Qubit_Pool1,Qubit_Pool2,Qubit_library,Reference_Genome,Lineage,%Coverage_(20x),Samtool_avg _depth,BEDfile
Yale-TB001,111-10300-18,A01,DNA,Moldova,2018-06-11,11.0602184,14381428.1,,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,98.2,90.4,,,,,,
Yale-TB002,111-10300-18,A01,DNA,Moldova,2018-06-11,,,1.00E-01,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,88,78,,,,,,
Yale-TB003,111-10300-18,A01,DNA,Moldova,2018-06-11,,,1.00E-02,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,66.4,70,,,,,,
Yale-TB004,111-10300-18,A01,DNA,Moldova,2018-06-11,,,1.00E-03,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,68.2,66,,,,,,
Yale-TB005,111-10300-18,A01,DNA,Moldova,2018-06-11,,,1.00E-04,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,70.8,66.8,,,,,,
Yale-TB006,444-3403-18,B06,DNA,Moldova,2018-06-29,15.6202977,741426.888,,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,67.8,77.4,,,,,,
Yale-TB007,444-3403-18,B06,DNA,Moldova,2018-06-29,,,1.00E-01,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,70.4,67.8,,,,,,
Yale-TB008,444-3403-18,B06,DNA,Moldova,2018-06-29,,,1.00E-02,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,79.2,65.2,,,,,,
Yale-TB009,444-3403-18,B06,DNA,Moldova,2018-06-29,,,1.00E-03,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,89.4,61.4,,,,,,
Yale-TB010,444-3403-18,B06,DNA,Moldova,2018-06-29,,,1.00E-04,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,78,39,,,,,,
Yale-TB011,NTC,,Water,,,,,,200uM,Mpox/Hybrid CovidSeq,2024-02-05,TBv1.0,TB001,2024-02-12,102,53.2,,,,,,
Yale-TB012,111-10300-18,A01,DNA,Moldova,2018-06-11,11.0602184,14381428.1,,200uM,ONT LoCost,2024-02-05,TBv1.0,TB002,2024-02-07,98.2,90.4,12.7,,,,,
Yale-TB013,444-3403-18,B06,DNA,Moldova,2018-06-29,15.6202977,741426.888,,200uM,ONT LoCost,2024-02-05,TBv1.0,TB002,2024-02-07,67.8,77.4,18.3,,,,,
Yale-TB014,NTC,,Water,,,,,,200uM,ONT LoCost,2024-02-05,TBv1.0,TB002,2024-02-07,102,53.2,0.462,,,,,
Yale-TB015,111-5264-18,A02,DNA,Moldova,,11.99,17157412.2,1.00E-01,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB016,111-5264-18,A02,DNA,Moldova,,15.28,1751267.94,1.00E-02,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB017,111-5264-18,A02,DNA,Moldova,,17.49,376850.579,1.00E-03,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB018,111-5264-18,A02,DNA,Moldova,,20.72,40331.7653,1.00E-04,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB019,111-5264-18,A02,DNA,Moldova,,23.6,5466.36394,1.00E-05,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB020,111-5264-18,A02,DNA,Moldova,,27.44,382.357293,1.00E-06,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB021,111-5264-18,A02,DNA,Moldova,,31.29,26.4917387,1.00E-07,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB022,111-5264-18,A02,DNA,Moldova,,34.26,3.38498797,2.00E-08,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
Yale-TB023,111-5264-18,A02,DNA,Moldova,,36.5,0.71833873,1.00E-09,200uM,Mpox/Hybrid CovidSeq,,TBv1.1,TB003,2024-03-08,,,,,,,,
